mesa_hasta,votacion,mesa_desde,dne_distri,vot_parcodigo,total,id,dne_seccio,the_geom,cartodb_id,created_at,updated_at
239,VotosCandidaturaMesasDNacionales,228,1,502,975,129,1,,129,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
239,VotosCandidaturaMesasDNacionales,228,1,503,994,130,1,,130,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
239,VotosCandidaturaMesasDNacionales,228,1,505,146,131,1,,131,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
239,VotosCandidaturaMesasDNacionales,228,1,506,52,132,1,,132,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
249,VotosCandidaturaMesasDNacionales,240,1,187,88,133,1,,133,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
249,VotosCandidaturaMesasDNacionales,240,1,501,442,134,1,,134,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
249,VotosCandidaturaMesasDNacionales,240,1,502,762,135,1,,135,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
249,VotosCandidaturaMesasDNacionales,240,1,503,809,136,1,,136,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
249,VotosCandidaturaMesasDNacionales,240,1,505,104,137,1,,137,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
249,VotosCandidaturaMesasDNacionales,240,1,506,42,138,1,,138,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
264,VotosCandidaturaMesasDNacionales,250,1,187,109,139,1,,139,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
264,VotosCandidaturaMesasDNacionales,250,1,501,527,140,1,,140,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
264,VotosCandidaturaMesasDNacionales,250,1,502,1140,141,1,,141,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
264,VotosCandidaturaMesasDNacionales,250,1,503,1160,142,1,,142,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
264,VotosCandidaturaMesasDNacionales,250,1,505,165,143,1,,143,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
264,VotosCandidaturaMesasDNacionales,250,1,506,63,144,1,,144,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
274,VotosCandidaturaMesasDNacionales,265,1,187,83,145,1,,145,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
274,VotosCandidaturaMesasDNacionales,265,1,501,531,146,1,,146,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
274,VotosCandidaturaMesasDNacionales,265,1,502,654,147,1,,147,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
274,VotosCandidaturaMesasDNacionales,265,1,503,752,148,1,,148,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
274,VotosCandidaturaMesasDNacionales,265,1,505,114,149,1,,149,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
274,VotosCandidaturaMesasDNacionales,265,1,506,49,150,1,,150,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
303,VotosCandidaturaMesasDNacionales,296,1,187,69,151,1,,151,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
303,VotosCandidaturaMesasDNacionales,296,1,501,421,152,1,,152,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
303,VotosCandidaturaMesasDNacionales,296,1,502,547,153,1,,153,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
303,VotosCandidaturaMesasDNacionales,296,1,503,538,154,1,,154,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
303,VotosCandidaturaMesasDNacionales,296,1,505,109,155,1,,155,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
303,VotosCandidaturaMesasDNacionales,296,1,506,37,156,1,,156,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
295,VotosCandidaturaMesasDNacionales,292,1,187,42,157,1,,157,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
295,VotosCandidaturaMesasDNacionales,292,1,501,232,158,1,,158,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
295,VotosCandidaturaMesasDNacionales,292,1,502,222,159,1,,159,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
295,VotosCandidaturaMesasDNacionales,292,1,503,307,160,1,,160,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
295,VotosCandidaturaMesasDNacionales,292,1,505,43,161,1,,161,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
295,VotosCandidaturaMesasDNacionales,292,1,506,17,162,1,,162,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
291,VotosCandidaturaMesasDNacionales,284,1,187,63,163,1,,163,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
291,VotosCandidaturaMesasDNacionales,284,1,501,434,164,1,,164,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
291,VotosCandidaturaMesasDNacionales,284,1,502,541,165,1,,165,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
291,VotosCandidaturaMesasDNacionales,284,1,503,553,166,1,,166,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
291,VotosCandidaturaMesasDNacionales,284,1,505,100,167,1,,167,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
291,VotosCandidaturaMesasDNacionales,284,1,506,23,168,1,,168,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
283,VotosCandidaturaMesasDNacionales,275,1,187,78,169,1,,169,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
283,VotosCandidaturaMesasDNacionales,275,1,501,496,170,1,,170,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
283,VotosCandidaturaMesasDNacionales,275,1,502,562,171,1,,171,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
283,VotosCandidaturaMesasDNacionales,275,1,503,649,172,1,,172,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
283,VotosCandidaturaMesasDNacionales,275,1,505,126,173,1,,173,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
283,VotosCandidaturaMesasDNacionales,275,1,506,38,174,1,,174,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
318,VotosCandidaturaMesasDNacionales,304,1,187,102,175,1,,175,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
318,VotosCandidaturaMesasDNacionales,304,1,501,828,176,1,,176,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
318,VotosCandidaturaMesasDNacionales,304,1,502,975,177,1,,177,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
318,VotosCandidaturaMesasDNacionales,304,1,503,1211,178,1,,178,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
318,VotosCandidaturaMesasDNacionales,304,1,505,214,179,1,,179,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
318,VotosCandidaturaMesasDNacionales,304,1,506,75,180,1,,180,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
330,VotosCandidaturaMesasDNacionales,327,1,187,36,181,1,,181,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
330,VotosCandidaturaMesasDNacionales,327,1,501,246,182,1,,182,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
330,VotosCandidaturaMesasDNacionales,327,1,502,247,183,1,,183,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
330,VotosCandidaturaMesasDNacionales,327,1,503,334,184,1,,184,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
330,VotosCandidaturaMesasDNacionales,327,1,505,56,185,1,,185,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
330,VotosCandidaturaMesasDNacionales,327,1,506,15,186,1,,186,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
326,VotosCandidaturaMesasDNacionales,319,1,187,102,187,1,,187,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
326,VotosCandidaturaMesasDNacionales,319,1,501,436,188,1,,188,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
326,VotosCandidaturaMesasDNacionales,319,1,502,527,189,1,,189,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
326,VotosCandidaturaMesasDNacionales,319,1,503,629,190,1,,190,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
326,VotosCandidaturaMesasDNacionales,319,1,505,100,191,1,,191,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
326,VotosCandidaturaMesasDNacionales,319,1,506,35,192,1,,192,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
339,VotosCandidaturaMesasDNacionales,331,1,187,68,193,1,,193,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
339,VotosCandidaturaMesasDNacionales,331,1,501,487,194,1,,194,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
339,VotosCandidaturaMesasDNacionales,331,1,502,541,195,1,,195,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
339,VotosCandidaturaMesasDNacionales,331,1,503,795,196,1,,196,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
339,VotosCandidaturaMesasDNacionales,331,1,505,132,197,1,,197,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
339,VotosCandidaturaMesasDNacionales,331,1,506,36,198,1,,198,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
368,VotosCandidaturaMesasDNacionales,363,1,187,62,199,1,,199,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
368,VotosCandidaturaMesasDNacionales,363,1,501,328,200,1,,200,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
368,VotosCandidaturaMesasDNacionales,363,1,502,422,201,1,,201,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
368,VotosCandidaturaMesasDNacionales,363,1,503,471,202,1,,202,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
368,VotosCandidaturaMesasDNacionales,363,1,505,90,203,1,,203,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
368,VotosCandidaturaMesasDNacionales,363,1,506,27,204,1,,204,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
356,VotosCandidaturaMesasDNacionales,348,1,187,84,205,1,,205,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
