fake_id,187_total,501_total,502_total,503_total,505_total,506_total,leader,leader_total,margin_of_victory
1643-1650,58,560,465,670,136,32,503,670,110
2501-2510,96,443,1119,837,133,71,502,1119,282
4000-4003,25,330,226,345,65,18,503,345,15
4650-4652,39,190,254,236,54,15,502,254,18
1815-1824,67,619,670,923,154,42,503,923,253
3882-3891,94,627,772,856,158,55,503,856,84
5174-5181,93,433,722,737,123,35,503,737,15
5882-5906,235,809,2441,2417,292,107,502,2441,24
153-167,87,379,1275,1572,90,32,503,1572,297
3373-3379,30,706,238,610,91,31,501,706,96
5264-5274,99,439,1026,1185,141,58,503,1185,159
3805-3811,65,416,556,549,106,78,502,556,7
5390-5402,142,630,1111,1211,211,72,503,1211,100
3931-3937,56,450,471,639,105,25,503,639,168
472-481,98,656,590,762,154,54,503,762,106
7128-7133,84,411,391,412,95,44,503,412,1
6165-6178,181,688,1201,1184,202,104,502,1201,17
1825-1835,105,738,704,1022,178,55,503,1022,284
729-739,64,256,996,1032,91,27,503,1032,36
6958-6972,254,839,1098,1061,215,106,502,1098,37
4865-4868,55,182,385,373,57,26,502,385,12
3951-3959,78,628,595,813,137,37,503,813,185
3250-3258,89,524,711,698,172,66,502,711,13
4766-4775,107,633,786,758,183,72,502,786,28
1605-1613,75,482,596,800,125,47,503,800,204
1481-1487,70,468,464,573,131,44,503,573,105
4099-4106,70,454,662,742,109,39,503,742,80
2825-2836,119,527,1206,1126,140,85,502,1206,80
5221-5229,92,489,774,809,146,37,503,809,35
3687-3699,65,1108,633,1130,197,50,503,1130,22
4157-4163,68,399,567,554,113,31,502,567,13
4396-4402,65,433,592,595,125,44,503,595,3
7175-7179,50,294,364,391,73,34,503,391,27
1051-1054,28,223,282,304,59,21,503,304,22
4514-4518,57,276,425,371,93,45,502,425,54
4138-4144,63,413,568,552,101,36,502,568,16
2360-2373,213,824,1114,993,232,118,502,1114,121
5667-5674,81,328,803,734,74,38,502,803,69
2622-2629,103,417,796,565,130,69,502,796,231
4226-4235,99,541,829,932,153,51,503,932,103
440-445,60,370,344,443,83,36,503,443,73
7290-7301,131,741,977,870,241,83,502,977,107
4502-4509,109,440,651,639,122,63,502,651,12
3892-3901,85,610,718,891,157,50,503,891,173
4317-4323,94,367,640,550,115,27,502,640,90
319-326,102,436,527,629,100,35,503,629,102
2069-2086,216,1095,1483,1372,306,169,502,1483,111
1098-1106,78,485,573,600,115,38,503,600,27
5381-5389,106,439,782,812,122,46,503,812,30
5512-5517,84,284,490,512,89,57,503,512,22
632-641,79,324,986,967,106,35,502,986,19
945-955,108,465,1070,900,120,65,502,1070,170
994-1002,91,402,641,669,110,45,503,669,28
2644-2657,182,660,1383,1174,183,124,502,1383,209
1130-1138,79,490,649,623,141,48,502,649,26
4665-4674,118,602,826,746,156,68,502,826,80
2190-2201,136,689,980,896,205,93,502,980,84
3076-3084,93,425,791,621,129,63,502,791,170
2898-2904,69,399,625,572,89,65,502,625,53
5370-5380,116,608,907,977,179,57,503,977,70
5244-5254,121,656,862,1036,178,64,503,1036,174
1618-1623,51,346,367,488,93,31,503,488,121
3240-3249,129,580,797,849,131,70,503,849,52
1986-1995,117,688,715,825,190,53,503,825,110
3653-3666,100,1100,676,1084,183,59,501,1100,16
465-471,38,341,318,397,81,26,503,397,56
4067-4074,81,403,647,760,118,45,503,760,113
5164-5173,85,432,794,841,147,51,503,841,47
3416-3424,54,773,359,745,141,42,501,773,28
1535-1544,72,673,564,849,166,60,503,849,176
1467-1480,106,777,820,1143,241,80,503,1143,323
1003-1018,116,762,1228,1167,241,75,502,1228,61
3361-3372,74,1058,563,901,176,69,501,1058,157
1062-1065,45,169,288,329,52,19,503,329,41
2561-2584,350,1310,2171,1784,363,175,502,2171,387
705-710,47,221,577,545,61,34,502,577,32
2218-2233,211,936,1296,1183,238,96,502,1296,113
1801-1808,51,529,402,680,131,22,503,680,151
