mesa_hasta,votacion,mesa_desde,dne_distri,vot_parcodigo,total,id,dne_seccio,the_geom,cartodb_id,created_at,updated_at
94,D,86,1,8,10,105,1,,105,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
94,D,86,1,68,21,106,1,,106,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
94,D,86,1,187,22,107,1,,107,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
94,D,86,1,234,30,108,1,,108,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
94,D,86,1,262,26,109,1,,109,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
94,D,86,1,324,24,110,1,,110,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
94,D,86,1,325,20,111,1,,111,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
94,D,86,1,501,831,112,1,,112,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
94,D,86,1,502,263,113,1,,113,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
94,D,86,1,503,296,114,1,,114,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
94,D,86,1,504,49,115,1,,115,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
94,D,86,1,505,72,116,1,,116,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
94,D,86,1,506,38,117,1,,117,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
85,D,73,1,8,13,118,1,,118,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
85,D,73,1,68,22,119,1,,119,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
85,D,73,1,187,213,120,1,,120,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
85,D,73,1,234,33,121,1,,121,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
85,D,73,1,262,42,122,1,,122,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
85,D,73,1,324,24,123,1,,123,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
85,D,73,1,325,40,124,1,,124,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
85,D,73,1,501,1269,125,1,,125,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
85,D,73,1,502,406,126,1,,126,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
85,D,73,1,503,419,127,1,,127,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
85,D,73,1,504,91,128,1,,128,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
85,D,73,1,505,100,129,1,,129,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
85,D,73,1,506,127,130,1,,130,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
136,D,116,1,8,7,131,1,,131,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
136,D,116,1,68,16,132,1,,132,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
136,D,116,1,187,48,133,1,,133,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
136,D,116,1,234,17,134,1,,134,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
136,D,116,1,262,26,135,1,,135,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
136,D,116,1,324,15,136,1,,136,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
136,D,116,1,325,17,137,1,,137,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
136,D,116,1,501,298,138,1,,138,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
136,D,116,1,502,1829,139,1,,139,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
136,D,116,1,503,2397,140,1,,140,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
136,D,116,1,504,94,141,1,,141,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
136,D,116,1,505,58,142,1,,142,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
136,D,116,1,506,50,143,1,,143,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
115,D,95,1,8,5,144,1,,144,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
115,D,95,1,68,16,145,1,,145,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
115,D,95,1,187,40,146,1,,146,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
115,D,95,1,234,11,147,1,,147,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
115,D,95,1,262,26,148,1,,148,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
115,D,95,1,324,17,149,1,,149,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
115,D,95,1,325,16,150,1,,150,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
115,D,95,1,501,332,151,1,,151,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
115,D,95,1,502,1864,152,1,,152,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
115,D,95,1,503,2461,153,1,,153,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
115,D,95,1,504,79,154,1,,154,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
115,D,95,1,505,87,155,1,,155,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
115,D,95,1,506,24,156,1,,156,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
